2109586,884,megavirus vitis
2093496,1060,grapevine virus j
2052838,3259,grapevine badnavirus 1
2052157,3435,grapevine virus i
2045345,4691,grapevine virus h
2025352,7905,wild vitis virus 1,VHostDB
2022475,8381,grapevine virus g
2016035,9421,grapevine virus t,VHostDB
2016034,9422,grapevine virus k,VHostDB
1928761,20149,grapevine geminivirus a defective dna
1906317,25757,grapevine geminivirus a,VHostDB
1892570,26517,grapevine enamovirus-1,VHostDB
1849838,31052,grapevine fabavirus,VHostDB
1815581,33593,grapevine leafroll-associated virus 13,VHostDB
1640277,49268,grapevine cabernet sauvignon reovirus,VHostDB
1471299,69971,grapevine roditis leaf discoloration-associated virus,VHostDB
1395525,77850,grapevine redleaf-associated virus,VHostDB
1381007,78902,grapevine red blotch virus,VHostDB
1343493,81420,grapevine satellite virus,VHostDB
1263294,92854,grapevine leafroll-associated virus 3m,VHostDB
1256788,93517,grapevine cryptic virus
1256787,93518,grapevine chrysovirus
1256786,93519,grapevine partitivirus
1245593,94091,grapevine virus s
1221437,96990,grapevine virus f,VHostDB
1177191,101998,grapevine geminivirus
1051792,114169,grapevine pinot gris virus,VHostDB
1050407,114349,grapevine vein clearing virus,VHostDB
942734,121865,grapevine associated partitivirus-2
942732,121866,grapevine associated alphaflexiviridae-1
942730,121868,grapevine associated gammaflexiviridae-1
908841,123693,grapevine associated mycovirus-3
908840,123694,grapevine associated mycovirus-2
908839,123695,grapevine associated mycovirus-1
908838,123696,grapevine associated totivirus-3
908837,123697,grapevine associated totivirus-2
908836,123698,grapevine associated totivirus-1
908835,123699,grapevine associated partitivirus-1
908832,123702,grapevine associated hypovirus-1
908831,123703,grapevine associated chrysovirus-4
908830,123704,grapevine associated chrysovirus-3
908829,123705,grapevine associated chrysovirus-2
908828,123706,grapevine associated chrysovirus-1
748667,133516,grapevine bulgarian latent virus,VHostDB
672412,141888,grapevine virus q
659661,143754,grapevine leafroll-associated virus carn,VHostDB
652668,145296,grapevine fleck virus isolate mt48
651358,145347,grapevine virus a isolate is 151
651354,145351,grapevine leafroll-associated virus 3 isolate ny1
641158,146752,grapevine virus 101-14.n.23.9.1/south africa/2009
630199,147349,grapevine syrah virus 1,VHostDB
543900,153081,grapevine virus 99b/sdp2/south africa/2008
516956,156414,grapevine virus e,VHostDB
446568,166292,grapevine leafroll-associated virus 11
417291,169348,grapevine leafroll-associated virus wc-hsp-10
367121,174713,grapevine leafroll-associated virus 10,VHostDB
282370,180464,grapevine fanleaf virus strain nw
233784,182104,grapevine deformation virus,VHostDB
223769,182601,grapevine anatolian ringspot virus,VHostDB
217616,183073,grapevine leafroll virus-associated rna6
217615,183074,grapevine leafroll-associated virus 7,VHostDB
204933,183530,grapevine rupestris vein feathering virus,VHostDB
203168,183637,grapevine leafroll-associated virus 6,VHostDB
196400,183910,grapevine rupestris stem pitting-associated virus,VHostDB
191547,184167,beet ringspot virus,VHostDB
184610,184465,grapevine leafroll-associated virus 9,VHostDB
167634,185165,grapevine rootstock stem lesion associated virus,VHostDB
152265,185860,grapevine leafroll-associated virus 8
141860,186215,grapevine fanleaf virus satellite rna,VHostDB
103724,187308,grapevine asteroid mosaic associated virus,VHostDB
103723,187309,grapevine red globe virus,VHostDB
103722,187310,grapevine fleck virus,VHostDB
81877,187737,grapevine berry inner necrosis virus,VHostDB
81832,187738,grapevine rupestris stem pitting-associated virus 1,VHostDB
71032,187986,grapevine leafroll-associated virus 5,VHostDB
70177,188013,grapevine leafroll-associated virus 4,VHostDB
68893,188075,grapevine rupestris stem pitting virus,VHostDB
64003,188230,grapevine leafroll-associated virus 2,VHostDB
55951,188574,grapevine leafroll-associated virus 3,VHostDB
47985,188689,grapevine leafroll-associated virus 1,VHostDB
38404,189138,grapevine leafroll-associated virus
12282,189962,tobacco ringspot virus,VHostDB
12275,189968,tomato black ring virus,VHostDB
12274,189969,grapevine fanleaf virus,VHostDB
