2049955,4238,capraria yellow spot virus
2020287,8600,ocimum basilicum rna virus 2,VHostDB
2020286,8601,ocimum basilicum rna virus 1,VHostDB
1949200,17856,leonurus yellow spot alphasatellite
1905830,25784,physostegia chlorotic mottle virus
1899566,25944,ligustrum virus a,VHostDB
1853762,30824,jasmine virus c,VHostDB
1830242,32342,plantago lanceolata latent virus
1811408,33755,privet leaf blotch-associated virus,VHostDB
1775963,36589,jasmine virus t,VHostDB
1738045,39939,andrographis yellow vein leaf curl virus,VHostDB
1725341,41929,privet ringspot virus,VHostDB
1611435,52932,asystasia mosaic madagascar virus,VHostDB
1561160,62242,motherwort yellow mottle virus,VHostDB
1476485,69376,andrographis yellow vein leaf curl betasatellite,VHostDB
1432135,74514,lamium mild mosaic virus,VHostDB
1417755,75777,eclipta yellow vein virus [india: lucknow: andrographis paniculata:2010],VHostDB
1417309,75797,salvia virus
1311277,86630,capraria yellow spot yucatan virus,VHostDB
1283110,90467,tecoma stans leaf curl virus
1283109,90468,justicia leaf curl virus
1283104,90473,lantana yellow vein alphasatellite
1283103,90474,duranta leaf curl alphasatellite
1250316,93635,olive viral satellite rna,VHostDB
1246650,94055,blechum interveinal chlorosis virus,VHostDB
1198134,100456,premna leaf curl virus
1188812,101459,peristrophe mosaic virus,VHostDB
1170668,102655,lantana yellow vein betasatellite
1170661,102658,lantana yellow vein virus
1134399,107028,millingtonia hortensis yellow vein mosaic lakshmangarh virus
1134397,107030,jasminum sambac leaf curl lakshmangarh virus
1134396,107031,duranta erecta leaf curl lakshmangarh virus
1134393,107034,clerodendrum inerme yellow vein mosaic delhi virus
1093673,109698,ocimum leaf curl virus
1076345,112260,catharanthus yellow mosaic virus,VHostDB
1064520,113342,clerodendrum chlorotic spot virus
1046574,114671,west african asystasia virus 2
1046573,114672,west african asystasia virus 1,VHostDB
879624,125762,ligustrum ringspot virus
742163,134657,duranta leaf curl virus
722755,135097,lilac leaf chlorosis virus,VHostDB
670251,142113,leucas zeylanica yellow vein virus satellite dna beta,VHostDB
649509,145576,clerodendrum golden mosaic jiangsu virus,VHostDB
611306,148153,tomato leaf curl karnataka virus - bangalore [india:punjab:mentha:2007],VHostDB
593888,148507,bacopa chlorosis virus
559878,151585,clerodendrum golden mosaic china virus,VHostDB
559231,151589,clerodendron leaf curl virus
557400,151645,"mentha leaf deformity associated satellite dna beta, punjab, india"
557397,151646,mentha virus india bkb-2008
547467,152626,diascia yellow mottle virus,VHostDB
515446,156432,verbena virus y,VHostDB
515320,156437,lamium leaf distortion virus,VHostDB
487095,161593,phlomis mottle virus
478550,162304,ligustrum necrotic ringspot virus,VHostDB
478088,162341,clerodendron yellow mosaic virus - [barrackpore]
447605,166186,lindernia anagallis yellow vein virus satellite dna beta,VHostDB
425279,168799,rehmannia mosaic virus,VHostDB
404404,170685,coleus vein necrosis virus,VHostDB
390438,172072,clerodendron golden mosaic virus,VHostDB
389227,172286,penstemon ringspot virus
352882,175769,angelonia flower break virus,VHostDB
336861,177208,angelonia flower mottle virus
326811,178142,clerodendron yellow mosaic virus,VHostDB
317653,178670,buddleja crispa potyvirus
317626,178676,verbena canadensis potyvirus ma-2005
301865,179464,mint virus x,VHostDB
300740,179489,mint virus 1,VHostDB
300411,179522,lindernia anagallis yellow vein virus,VHostDB
295090,179740,olive mild mosaic virus,VHostDB
290007,179928,stachytarpheta leaf curl virus - [hn35]
290006,179929,stachytarpheta leaf curl virus - [hn33]
290005,179930,stachytarpheta leaf curl virus - [hn32]
290004,179931,stachytarpheta leaf curl virus - [hn31]
290003,179932,stachytarpheta leaf curl virus - [hn29]
290002,179933,stachytarpheta leaf curl virus - [hn28]
290001,179934,stachytarpheta leaf curl virus - [hn27]
290000,179935,stachytarpheta leaf curl virus - [hn26]
289999,179936,stachytarpheta leaf curl virus - [hn34],VHostDB
289998,179937,stachytarpheta leaf curl virus - [hn30],VHostDB
269281,180990,stachytarpheta leaf curl virus - [hn6.1],VHostDB
269280,180991,stachytarpheta leaf curl virus - [hn5.4],VHostDB
246160,181815,gloxinia ringspot virus
223329,182637,stachytarpheta leaf curl virus - [hn5]
202568,183651,stachytarpheta leaf curl virus,VHostDB
195059,183959,datura yellow vein nucleorhabdovirus,VHostDB
134374,186385,verbena latent virus
94700,187511,dicliptera yellow mottle virus,VHostDB
82791,187726,olive leaf yellowing-associated virus,VHostDB
76875,187817,broad bean wilt virus 2,VHostDB
76146,187829,gloxinia tospovirus
58177,188532,leonurus mosaic virus
28354,189749,plantago asiatica mosaic virus,VHostDB
10649,191099,figwort mosaic virus,VHostDB
