2005445,11420,allamanda mosaic virus
1979541,14025,hoya chlorotic spot virus,VHostDB
1501716,67428,plumeria mosaic virus,VHostDB
1383052,78656,hemidesmus yellow mosaic virus,VHostDB
1317107,86051,allamanda leaf mottle distortion virus,VHostDB
1283107,90470,vinca yellow vein alphasatellite
1170672,102651,vinca yellow vein betasatellite
1170658,102661,vinca yellow vein virus
1170656,102662,vinca leaf curl virus,VHostDB
1093676,109697,calotropis yellow vein mosiac virus
1027880,116984,asclepias asymptomatic virus,VHostDB
454757,165710,araujia mosaic virus
452758,166004,allamanda leaf curl virus,VHostDB
409945,169919,telosma mosaic virus pangda15
409912,169939,telosma mosaic virus pangda12
400394,171502,telosma mosaic virus,VHostDB
369752,174570,catharanthus mosaic virus,VHostDB
302840,179334,carissa potyvirus
