2138326,506,bipolaris maydis botybirnavirus 1
2066695,1941,alternaria alternata chrysovirus 1
1986419,12545,alternaria botybirnavirus 1
1982874,13302,bipolaris maydis chrysovirus 1
1980631,13780,bipolaris maydis partitivirus 1,VHostDB
1935440,18929,alternaria alternata fusarivirus 1
1932863,19325,alternaria alternata partitivirus 1
1826822,32379,alternaria arborescens mitovirus 1,VHostDB
1766767,37431,alternaria brassicicola fusarivirus 1,VHostDB
1755785,39034,pleospora typhicola fusarivirus 1,VHostDB
1754210,39165,curvularia virus 2
1728964,41896,alternaria arborescens victorivirus 1
1676469,45484,alternaria brassicicola mitovirus
1617994,50884,alternaria tenuissima virus
1580606,59162,alternaria brassicicola betaendornavirus 1,VHostDB
1532031,63906,alternaria longipes dsrna virus 1,VHostDB
483537,161729,alternaria alternata virus 1,VHostDB
421976,169035,curvularia thermal tolerance virus,VHostDB
164750,185282,helminthosporium victoriae 145s virus,VHostDB
45237,188834,helminthosporium victoriae virus 190s,VHostDB
