222645,182746,halovirus hf1,VHostDB
176106,184735,sulfolobus islandicus filamentous virus,VHostDB
173824,184811,methanothermobacter phage psim100,VHostDB
169684,185074,halobacterium phage phih
157899,185567,sulfolobus islandicus rod-shaped virus 2,VHostDB
157898,185568,sulfolobus islandicus rod-shaped virus 1,VHostDB
128710,186687,his2 virus,VHostDB
128708,186689,his 1 virus,VHostDB
114777,186943,natrialba phage phich1,VHostDB
78218,187790,methanobacterium virus psim1
77048,187811,methanobacterium phage psim2,VHostDB
33771,189418,halorubrum phage hf2,VHostDB
10481,191218,thermoproteus tenax virus 1 (strain vt3)
10480,191219,thermoproteus tenax virus 1 (strain kra1)
10479,191220,thermoproteus tenax virus 1,VHostDB
