.\Archaea, ,.\Archaea\Candidatus Nanohaloarchaeota, ,.\Archaea\Candidatus Nanohaloarchaeota\Nanohaloarchaea, ,,,,,,,
 , ,.\Bacteria\Thermotogae, ,.\Eukaryote\Ascomycota\Leotiomycetes, ,,,,,,,
 , ,Thermotogae,3,.\Eukaryote\Ascomycota\Pezizomycetes, ,,,,,,,
 , ,.\Bacteria\Verrucomicrobia, ,.\Eukaryote\Ascomycota\Saccharomycetes, ,,,,,,,
 , ,Opitutae,1,.\Eukaryote\Ascomycota\Sordariomycetes, ,,,,,,,
 , ,.\Eukaryote\Annelida, ,.\Eukaryote\Bacillariophyta\Coscinodiscophyceae, ,,,,,,,
 , ,Clitellata,11,.\Eukaryote\Bacillariophyta\Fragilariophyceae, ,,,,,,,
 , ,Polychaeta,27,.\Eukaryote\Basidiomycota\Agaricomycetes, ,,,,,,,
 , ,.\Eukaryote\Apicomplexa, ,.\Eukaryote\Basidiomycota\Pucciniomycetes, ,,,,,,,
 , ,Conoidasida,7,.\Eukaryote\Basidiomycota\Tremellomycetes, ,,,,,,,
 , ,.\Eukaryote\Arthropoda, ,.\Eukaryote\Basidiomycota\Ustilaginomycetes, ,,,,,,,
 , ,Hexanauplia,26,.\Eukaryote\Basidiomycota\Wallemiomycetes, ,,,,,,,
 , ,Insecta,1423,.\Eukaryote\Chlorophyta\Chlorodendrophyceae, ,,,,,,,
 , ,Protura,4,.\Eukaryote\Chlorophyta\Chlorophyceae, ,,,,,,,
 , ,Diplopoda,4,.\Eukaryote\Chlorophyta\Mamiellophyceae, ,,,,,,,
 , ,Chilopoda,14,.\Eukaryote\Chlorophyta\NA, ,,,,,,,
 , ,Arachnida,207,.\Eukaryote\Chlorophyta\Trebouxiophyceae, ,,,,,,,
 , ,Merostomata,15,.\Eukaryote\Chordata\Actinopteri, ,,,,,,,
 , ,Malacostraca,260,.\Eukaryote\Chordata\Amphibia, ,,,,,,,
 , ,Ostracoda,1,.\Eukaryote\Chordata\Ascidiacea, ,,,,,,,
 , ,Branchiopoda,12,.\Eukaryote\Chordata\Aves, ,,,,,,,
 , ,NA,179,.\Eukaryote\Chordata\Chondrichthyes, ,,,,,,,
 , ,.\Eukaryote\Ascomycota, ,.\Eukaryote\Chordata\Mammalia, ,,,,,,,
 , ,Sordariomycetes,235,.\Eukaryote\Chordata\NA, ,,,,,,,
 , ,Pezizomycetes,4,.\Eukaryote\Chytridiomycota\Chytridiomycetes, ,,,,,,,
 , ,Leotiomycetes,144,.\Eukaryote\Cnidaria\Anthozoa, ,,,,,,,
 , ,Eurotiomycetes,34,.\Eukaryote\Cnidaria\Hydrozoa, ,,,,,,,
 , ,Dothideomycetes,47,.\Eukaryote\Ctenophora\Tentaculata, ,,,,,,,
 , ,Saccharomycetes,35,.\Eukaryote\Echinodermata\Asteroidea, ,,,,,,,
 , ,.\Eukaryote\Bacillariophyta, ,.\Eukaryote\Echinodermata\Echinoidea, ,,,,,,,
 , ,Fragilariophyceae,2,.\Eukaryote\Echinodermata\NA, ,,,,,,,
 , ,Coscinodiscophyceae,15,.\Eukaryote\Microsporidia\NA, ,,,,,,,
 , ,.\Eukaryote\Basidiomycota, ,.\Eukaryote\Mollusca\Bivalvia, ,,,,,,,
 , ,Wallemiomycetes,2,.\Eukaryote\Mollusca\Cephalopoda, ,,,,,,,
 , ,Pucciniomycetes,23,.\Eukaryote\Mollusca\Gastropoda, ,,,,,,,
 , ,Agaricomycetes,175,.\Eukaryote\Mucoromycota\Glomeromycetes, ,,,,,,,
 , ,Tremellomycetes,3,.\Eukaryote\Mucoromycota\Mucoromycetes, ,,,,,,,
 , ,Ustilaginomycetes,7,.\Eukaryote\NA\Dinophyceae, ,,,,,,,
 , ,.\Eukaryote\Chlorophyta, ,.\Eukaryote\NA\Florideophyceae, ,,,,,,,
 , ,Chlorodendrophyceae,5,.\Eukaryote\NA\Heterolobosea, ,,,,,,,
 , ,Mamiellophyceae,118,.\Eukaryote\NA\Labyrinthulomycetes, ,,,,,,,
 , ,Trebouxiophyceae,66,.\Eukaryote\NA\Litostomatea, ,,,,,,,
 , ,Chlorophyceae,1,.\Eukaryote\NA\NA, ,,,,,,,
 , ,NA,1,.\Eukaryote\NA\Oomycetes, ,,,,,,,
 , ,.\Eukaryote\Chordata, ,.\Eukaryote\NA\Pelagophyceae, ,,,,,,,
 , ,Actinopteri,404,.\Eukaryote\NA\Raphidophyceae, ,,,,,,,
 , ,Mammalia,141343,.\Eukaryote\Nematoda\Chromadorea, ,,,,,,,
 , ,Aves,24622,.\Eukaryote\Nematoda\Enoplea, ,,,,,,,
 , ,Amphibia,79,.\Eukaryote\Nematoda\NA, ,,,,,,,
 , ,Chondrichthyes,24,.\Eukaryote\Phaeophyceae\NA, ,,,,,,,
 , ,Ascidiacea,1,.\Eukaryote\Picozoa\NA, ,,,,,,,
 , ,NA,185,.\Eukaryote\Platyhelminthes\Cestoda, ,,,,,,,
 , ,.\Eukaryote\Chytridiomycota, ,.\Eukaryote\Platyhelminthes\NA, ,,,,,,,
 , ,Chytridiomycetes,1,.\Eukaryote\Porifera\NA, ,,,,,,,
 , ,.\Eukaryote\Cnidaria, ,.\Eukaryote\Streptophyta\Charophyceae, ,,,,,,,
 , ,Anthozoa,14,.\Eukaryote\Streptophyta\Cycadopsida, ,,,,,,,
 , ,Hydrozoa,1,.\Eukaryote\Streptophyta\Liliopsida, ,,,,,,,
 , ,.\Eukaryote\Ctenophora, ,.\Eukaryote\Streptophyta\NA, ,,,,,,,
 , ,Tentaculata,5,.\Eukaryote\Streptophyta\Polypodiopsida, ,,,,,,,
 , ,.\Eukaryote\Echinodermata, ,Acanthuriformes,2,,,,,,,
 , ,Echinoidea,1,Acholeplasmatales,3,,,,,,,
 , ,Asteroidea,1,Acidithiobacillales,1,,,,,,,
 , ,NA,9,Acipenseriformes,1,,,,,,,
 , ,.\Eukaryote\Microsporidia, ,Actiniaria,10,,,,,,,
 , ,NA,1,Actinomycetales,2,,,,,,,
 , ,.\Eukaryote\Mollusca, ,Aeromonadales,66,,,,,,,
 , ,Cephalopoda,52,Agaricales,41,,,,,,,
 , ,Bivalvia,577,Alcyonacea,2,,,,,,,
 , ,Gastropoda,86,Alismatales,19,,,,,,,
 , ,.\Eukaryote\Mucoromycota, ,Alteromonadales,67,,,,,,,
 , ,Mucoromycetes,1,Amphipoda,3,,,,,,,
 , ,Glomeromycetes,8,Anabantiformes,4,,,,,,,
 , ,.\Eukaryote\NA, ,Anguilliformes,20,,,,,,,
 , ,Raphidophyceae,3,Anostraca,1,,,,,,,
 , ,Pelagophyceae,1,Anseriformes,10843,,,,,,,
 , ,Labyrinthulomycetes,1,Anthoathecata,1,,,,,,,
 , ,Litostomatea,1,Anura,59,,,,,,,
 , ,Heterolobosea,3,Apiales,46,,,,,,,
 , ,Oomycetes,8,Apterygiformes,1,,,,,,,
 , ,Dinophyceae,4,Aquificales,1,,,,,,,
 , ,Florideophyceae,6,Aquifoliales,1,,,,,,,
 , ,NA,127,Araneae,76,,,,,,,
 , ,.\Eukaryote\Nematoda, ,Araucariales,1,,,,,,,
 , ,Chromadorea,25,Architaenioglossa,34,,,,,,,
 , ,Enoplea,3,Arecales,15,,,,,,,
 , ,NA,18,Argentiniformes,1,,,,,,,
 , ,.\Eukaryote\Phaeophyceae, ,Asparagales,148,,,,,,,
 , ,NA,17,Asterales,228,,,,,,,
 , ,.\Eukaryote\Picozoa, ,Atheliales,4,,,,,,,
 , ,NA,1,Aulopiformes,5,,,,,,,
 , ,.\Eukaryote\Platyhelminthes, ,Bacillales,742,,,,,,,
 , ,Cestoda,2,Bacteroidales,5,,,,,,,
 , ,NA,3,Bacteroidetes Order II. Incertae sedis,11,,,,,,,
 , ,.\Eukaryote\Porifera, ,Batrachoidiformes,1,,,,,,,
 , ,NA,42,Bdellovibrionales,5,,,,,,,
 , ,.\Eukaryote\Streptophyta, ,Beryciformes,2,,,,,,,
 , ,Charophyceae,1,Bicosoecida,3,,,,,,,
 , ,Polypodiopsida,1,Bifidobacteriales,1,,,,,,,
 , ,Liliopsida,642,Blattodea,6,,,,,,,
 , ,Cycadopsida,1,Blenniiformes,1,,,,,,,
 , ,NA,3315,Bonnemaisoniales,5,,,,,,,
 , ,  , ,Boraginales,1,,,,,,,
 , ,  , ,Botryosphaeriales,22,,,,,,,
 , ,  , ,Brachyspirales,1,,,,,,,
 , ,  , ,Brassicales,101,,,,,,,
 , ,  , ,Burkholderiales,126,,,,,,,
 , ,  , ,Calanoida,3,,,,,,,
 , ,  , ,Campylobacterales,120,,,,,,,
 , ,  , ,Cantharellales,102,,,,,,,
 , ,  , ,Capnodiales,1,,,,,,,
 , ,  , ,Carangiformes,11,,,,,,,
 , ,  , ,Carcharhiniformes,3,,,,,,,
 , ,  , ,Cardiobacteriales,1,,,,,,,
 , ,  , ,Carnivora,993,,,,,,,
 , ,  , ,Caryophyllales,156,,,,,,,
 , ,  , ,Caudata,18,,,,,,,
 , ,  , ,Caulobacterales,25,,,,,,,
 , ,  , ,Celastrales,1,,,,,,,
 , ,  , ,Centrarchiformes,12,,,,,,,
 , ,  , ,Ceramiales,1,,,,,,,
 , ,  , ,Cetacea,95,,,,,,,
 , ,  , ,Cetartiodactyla,14821,,,,,,,
 , ,  , ,Chaetocerotales,12,,,,,,,
 , ,  , ,Chaetodontiformes,7,,,,,,,
 , ,  , ,Charadriiformes,166,,,,,,,
 , ,  , ,Charales,1,,,,,,,
 , ,  , ,Chattonellales,3,,,,,,,
 , ,  , ,Chiroptera,1470,,,,,,,
 , ,  , ,Chlamydiales,8,,,,,,,
 , ,  , ,Chlamydomonadales,1,,,,,,,
 , ,  , ,Chlorellales,4,,,,,,,
 , ,  , ,Chlorodendrales,5,,,,,,,
 , ,  , ,Chroococcales,2,,,,,,,
