1905713,25800,leptospira phage lin_34
1334246,82222,leptospira phage vb_linz_10-le1,VHostDB
1334245,82223,leptospira phage vb_lbrz_5399-le1,VHostDB
1334244,82224,leptospira phage vb_lkmz_bejolso9-le1,VHostDB
1334243,82225,leptospira phage vb_lnoz_cz214-le1,VHostDB
1334242,82226,leptospira phage vb_lalz_80412-le1,VHostDB
137511,186309,leptospira phage le1
